policy_id,ticker,entry_date,avg_entry_price,tranches,exit_date,exit_price,exit_reason,pnl_pct,pnl_units,entry_stop,fees_units
v1_tc_any_33r,WRD,2026-06-18,6.1841,2,2026-06-23,5.849999904632568,stop,-5.4,-5613,6.03,
v1_tc_any_33r,AXTI,2026-06-23,77.91,1,2026-06-24,76.0,stop,-2.45,-1280,76.0,
v1_tc_any_33r,NVDA,2026-06-11,204.87,1,2026-06-25,194.51,stop,-5.06,-5092,194.51,
v1_tc_any_33r,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,389,355.51,
v1_tc_any_33r,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-625,13.49,
v1_tc_any_33r,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,764,891.66,
v1_tc_any_33r,LITE,2026-07-31,713.94,1,2026-08-03,680.43,stop,-4.69,-2380,680.43,
v1_tc_any_33r,MU,2026-08-07,877.57,1,2026-08-11,854.22,stop,-2.66,-1358,854.22,
v1_tc_any_33s,D05_SI,2026-04-23,56.2132,1,2026-04-24,56.21319256363337,stop,-0.16,-82,56.31,
v1_tc_any_33s,U11_SI,2026-04-23,36.19,1,2026-04-24,35.92,stop,-0.91,-456,35.92,
v1_tc_any_33s,D05_SI,2026-04-24,56.1146,1,2026-04-27,56.114574272835476,stop,0.06,28,56.3,
v1_tc_any_33s,ASML,2026-04-23,1414.7101,1,2026-04-28,1389.72998046875,stop,-1.77,-1776,1402.66,
v1_tc_any_33s,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,71,7.42,
v1_tc_any_33s,MSFT,2026-06-04,428.05,1,2026-06-09,405.62,stop,-5.24,-2664,405.62,
v1_tc_any_33s,WRD,2026-06-18,6.1841,2,2026-06-23,5.849999904632568,stop,-5.4,-5613,6.03,
v1_tc_any_33s,AXTI,2026-06-23,77.91,1,2026-06-24,76.0,stop,-2.45,-1280,76.0,
v1_tc_any_33s,NVDA,2026-06-11,204.87,1,2026-06-25,194.51,stop,-5.06,-5092,194.51,
v1_tc_any_33s,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,389,355.51,
v1_tc_any_33s,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-625,13.49,
v1_tc_any_33s,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,764,891.66,
v1_tc_any_33s,LITE,2026-07-31,713.94,1,2026-08-03,680.43,stop,-4.69,-2382,680.43,
v1_tc_any_33s,MU,2026-08-07,877.57,1,2026-08-11,854.22,stop,-2.66,-1359,854.22,
v1_tc_any_50r,D05_SI,2026-04-23,56.2132,1,2026-04-24,56.21319256363337,stop,-0.16,-82,56.31,
v1_tc_any_50r,U11_SI,2026-04-23,36.19,1,2026-04-24,35.92,stop,-0.91,-456,35.92,
v1_tc_any_50r,D05_SI,2026-04-24,56.1146,1,2026-04-27,56.114574272835476,stop,0.06,28,56.3,
v1_tc_any_50r,ASML,2026-04-23,1414.7101,1,2026-04-28,1389.72998046875,stop,-1.77,-1776,1402.66,
v1_tc_any_50r,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,71,7.42,
v1_tc_any_50r,MSFT,2026-06-04,428.05,1,2026-06-09,405.62,stop,-5.24,-2656,405.62,
v1_tc_any_50r,WRD,2026-06-18,6.1844,2,2026-06-23,5.849999904632568,stop,-5.41,-5586,6.03,
v1_tc_any_50r,AXTI,2026-06-23,77.91,1,2026-06-24,76.0,stop,-2.45,-1268,76.0,
v1_tc_any_50r,NVDA,2026-06-11,204.87,1,2026-06-25,194.51,stop,-5.06,-5089,194.51,
v1_tc_any_50r,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,387,355.51,
v1_tc_any_50r,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-622,13.49,
v1_tc_any_50r,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,767,891.66,
v1_tc_any_50r,LITE,2026-07-31,713.94,1,2026-08-03,680.43,stop,-4.69,-2382,680.43,
